NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
60515,Hamilton,ON,Main St. & Hwy 403,43.25744,-79.90775,96,"PE,LU,P5,R",DMean,1,15,20,25,29,32,37,40,43,46,50,50,99.180327869,20,26,27,32,28,33,31,25,22,19,21,19,25.19,8.486264657,2020
60521,Hamilton,ON,250 Fennell Ave W.,43.24132,-79.88941,195,"PS,LU,P6,R",DMean,7,18,24,29,33,36,40,45,50,52,53,53,100,25,30,30,35,31,38,35,30,27,22,26,23,29.3,8.783632084,2020
60610,Sudbury,ON,155 Elm Street,46.49194,-81.00311,271,"PS,LU,P3,R",DMean,9,15,20,24,30,32,35,38,41,44,53,53,99.726775956,25,31,29,34,33,28,21,18,18,18,20,23,24.82,8.056517097,2020
60709,Sault Ste. Marie,ON,"443 Northern Ave., Sault College",46.53319,-84.30992,244,"PS,MU,P3,C",DMean,10,18,23,28,33,35,38,40,45,52,58,58,100,30,34,35,36,35,31,24,22,21,22,25,25,28.22,8.013205276,2020
60809,Thunder Bay,ON,421 James Street South,48.37939,-89.29017,192,"PE,LU,P3,R",DMean,7,13,19,23,27,29,32,34,36,38,44,44,100,23,27,28,30,28,25,19,19,16,21,20,21,22.92,6.830244209,2020
60904,London,ON,42 St. Julien Street,42.97446,-81.20086,244,"PE,LU,P4,R",DMean,10,18,24,28,32,34,37,40,42,46,50,50,98.907103825,25,30,29,34,31,34,31,26,24,22,24,22,27.75,7.362115827,2020
61009,Sarnia,ON,700 Christina St. N.,42.990263,-82.395341,182,"PE,MU,P4,R",DMean,7,17,22,27,30,33,37,40,46,46,49,49,100,25,29,26,31,30,35,32,29,24,22,20,17,26.66,7.796747336,2020
61104,Peterborough,ON,10 Hospital Drive,44.301833,-78.346386,226,"PE,MU,P4,R",DMean,7,18,23,27,32,34,37,40,43,44,49,49,92.62295082,26,32,32,35,32,33,27,26,23,20,24,22,27.39,7.475827499,2020
61201,Cornwall,ON,Bedford & Third St.,45.017981,-74.735314,55,"PE,MU,P3,R",DMean,2,16,21,27,31,33,36,39,41,46,48,48,100,24,29,32,34,32,30,27,22,20,21,24,21,26.36,7.857873348,2020
61302,St. Catharines,ON,62 Argyle Crescent/ Pump Stn.,43.16006,-79.23475,105,"PE,LU,P4,R",DMean,10,19,25,30,34,37,42,45,48,50,54,54,100,26,32,31,36,32,37,35,31,28,23,28,23,30.18,8.247506939,2020
